Feature,Importance
num__total_sqft,0.6403224455824064
num__price_per_sqft,0.3357387332476019
cat__location_Dodsworth Layout,0.016075986442703596
cat__availability_Ready To Move,0.0029062161152942027
cat__availability_18-Jul,0.0009514392248224775
num__balcony,0.0008373186372362545
num__bath,0.00068843061219596
num__size,0.0005164956779288386
cat__area_type_Plot  Area,0.0003343861149408052
cat__location_Ulsoor,0.0002530418925539206
cat__availability_18-May,0.00024385254822456413
cat__availability_18-Mar,0.00017428588119084345
cat__location_Rajaji Nagar,0.00015541353830498647
cat__availability_19-Jan,0.00012885203301480288
cat__area_type_Super built-up  Area,0.00010117906438006588
cat__location_Kasavanhalli,7.172058409755625e-05
cat__location_Sarjapur  Road,6.305493698689906e-05
cat__availability_18-Apr,6.186350217959514e-05
cat__location_Other,5.0934723477361845e-05
cat__area_type_Built-up  Area,4.842178881385496e-05
cat__location_Malleshwaram,2.575635091801605e-05
cat__availability_18-Jan,2.225794500660267e-05
cat__location_Whitefield,2.1178659161436066e-05
cat__location_Ramagondanahalli,2.0476359841234384e-05
cat__location_Vishveshwarya Layout,1.559551411276654e-05
cat__location_Tindlu,1.428394776783757e-05
cat__location_Old Airport Road,1.4242688874773785e-05
cat__location_Kothanur,1.358076797857789e-05
cat__location_Indira Nagar,7.2939572914113465e-06
cat__location_Gunjur,5.9894087220543345e-06
cat__location_Mahalakshmi Layout,5.787186661162144e-06
cat__location_Banaswadi,5.638610799286869e-06
cat__location_Hebbal,4.848265385917735e-06
cat__availability_19-Dec,4.708268340992595e-06
cat__location_Ambedkar Nagar,4.053318262035811e-06
cat__location_Sultan Palaya,4.000936033412596e-06
cat__location_Koramangala,3.6417510114168214e-06
cat__location_Iblur Village,3.1951974042579103e-06
cat__location_Frazer Town,3.187454337586541e-06
cat__location_Yelahanka New Town,3.1417938594977737e-06
cat__location_Begur,2.978490635848172e-06
cat__location_Hennur Road,2.829908546953319e-06
cat__availability_19-Jul,2.8099125564169035e-06
cat__location_Banashankari Stage VI,2.800307758536911e-06
cat__location_Giri Nagar,2.7841740490887675e-06
cat__location_Kengeri,2.680643636865739e-06
cat__location_Dodda Nekkundi,2.6072100085772014e-06
cat__location_Judicial Layout,2.098252968501457e-06
cat__location_Devanahalli,2.0177211842329107e-06
cat__location_JP Nagar,2.0172160396058443e-06
cat__location_9th Phase JP Nagar,1.6770165273281536e-06
cat__location_Yelahanka,1.6620370510525232e-06
cat__location_Benson Town,1.660991992020329e-06
cat__location_1st Block Jayanagar,1.5894426643929055e-06
cat__location_KR Puram,1.3949530510308253e-06
cat__location_R.T. Nagar,1.306391067690077e-06
cat__location_Electronic City Phase II,1.3001286678991223e-06
cat__location_Channasandra,1.232134361236703e-06
cat__availability_19-Mar,1.1964616130754449e-06
cat__location_Hebbal Kempapura,1.1091870529857627e-06
cat__location_Bannerghatta Road,1.0882972216071215e-06
cat__availability_17-Jul,9.937466663881387e-07
cat__location_Sarjapur,9.815008489740095e-07
cat__availability_18-Feb,9.339984888136313e-07
cat__location_Cooke Town,8.78009276889975e-07
cat__location_Banashankari Stage II,8.653814210896481e-07
cat__location_Dairy Circle,8.631155275472463e-07
cat__location_Thanisandra,8.284142558949226e-07
cat__location_Basavangudi,8.158556990365195e-07
cat__availability_20-May,7.806501243810347e-07
cat__location_Choodasandra,7.666957022187155e-07
cat__location_Thigalarapalya,7.581701664095902e-07
cat__location_Marathahalli,7.256104095774928e-07
cat__location_Banashankari,7.151417553541253e-07
cat__availability_20-Apr,6.686054917940764e-07
